Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Duration
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,South,Furniture,Bookcases,261.96,2,0.0,41.9136,3
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Consumer,South,Furniture,Chairs,731.94,3,0.0,219.582,3
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Corporate,West,Office Supplies,Labels,14.62,2,0.0,6.8714,4
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,South,Furniture,Tables,957.5775,5,0.45,-383.031,7
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Consumer,South,Office Supplies,Storage,22.368,2,0.2,2.5164,7
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Furniture,Furnishings,48.86,7,0.0,14.1694,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Office Supplies,Art,7.28,4,0.0,1.9656,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Technology,Phones,907.152,6,0.2,90.7152,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Office Supplies,Binders,18.504,3,0.2,5.7825,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Office Supplies,Appliances,114.9,5,0.0,34.47,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Furniture,Tables,1706.184,9,0.2,85.3092,5
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Consumer,West,Technology,Phones,911.424,4,0.2,68.3568,5
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Consumer,South,Office Supplies,Paper,15.552,3,0.2,5.4432,5
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Consumer,West,Office Supplies,Binders,407.976,3,0.2,132.5922,5
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,4
US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Home Office,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,4
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Consumer,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,7
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Consumer,West,Office Supplies,Storage,55.5,2,0.0,9.99,2
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,West,Office Supplies,Art,8.56,2,0.0,2.4824,5
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,West,Technology,Phones,213.48,3,0.2,16.011,5
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Consumer,West,Office Supplies,Binders,22.72,4,0.2,7.384,5
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,Central,Office Supplies,Art,19.46,7,0.0,5.0596,4
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Corporate,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,4
