R²,RMSE,MAE,Model,Notebook,Version
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
0.038,753.649,199.07,Linear Regression,03_model_training,v1
0.591,491.69,85.937,Random Forest,03_model_training,v1
